Text,DocType
"8 2009 EDITORIAL Change you can download. Wikileaks has released nearly a billion dollars worth of quasi-secret reports commissioned by the United States Congress. Frontpage of sample CRS report RL31555: China and Proliferation of Weapons of Mass Destruction and Missiles: Policy Issues dated January 7 2009. A full listing of reports is available here. The 6780 reports current as of this month comprise over 127000 pages of material on some of the most contentious issues in the nation from the U.S. relationship with Israel to the financial collapse. Nearly 2300 of the reports were updated in the last 12 months while the oldest report goes back to 1990. The release represents the total output of the Congressional Research Service (CRS) electronically available to Congressional offices. The CRS is Congress's analytical agency and has a budget in excess of $100M per year. Open government lawmakers such as Senators John McCain (R-Arizona) and Patrick J. Leahy (D-Vermont) have fought for years to make the reports public with bills being introduced--and rejected--almost every year since 1998. The CRS as a branch of Congress is exempt from the Freedom of Information Act. CRS reports are highly regarded as non-partisan in-depth and timely. The reports top the list of the """"10 Most-Wanted Government Documents"""" compiled by the Washington based Center for Democracy and Technology[1]. The Federation of American Scientists in pushing for the reports to be made public stated that the """"CRS is Congress' Brain and it's useful for the public to be plugged into it""""[2]. While Wired magazine called their concealment """"The biggest Congressional scandal of the digital age""""[3]. Although all CRS reports are legally in the public domain they are quasi-secret because the CRS as a matter of policy makes the reports available only to members of Congress Congressional committees and select sister agencies such as the GAO. Members of Congress are free to selectively release CRS reports to the public but are only motivated to do so when they feel the results would assist them politically. Universally embarrassing reports are kept quiet. Each time the topic of opening up the reports comes up it runs into walls erected by opposing lawmakers such as Sen. Ted Stevens (R-Alaska) who """"like many members of Congress views CRS as an extension of his staff"""". If the reports were made public """"every time a member requests a particular document the public may infer that he's staking out a particular policy position."""" (Aaron Saunders Stevens' spokesman Washington Post 2007)[4]. However that hasn't stopped a grey market forming around the documents. Opportunists smuggle out nearly all reports and sell them to cashed up special interests--lobbyists law firms multi-nationals and presumably foreign governments. Congress has turned a blind eye to special interest access while continuing to vote down public access. Opposition to public availability comes not only from members of Congress but also from within the CRS. One might think that the CRS as an agency of the Library of Congress would institutionally support having a wider audience. But an internal memo reveals the CRS lobbying against bills (S. Res. 54 and H.R. 3630) which would have given the public access to its reports (Project on Government Secrecy FAS 2003)[5]. The primary line pushed by the CRS is the one that appeals most to Congressional members--open publication would prevent spin control. The memo states this in delicate terms referring to such spin failures as """"Impairment of Member Communication with Constituents"""". Of course the CRS doesn't really care about politicians facing much needed voter discipline but it does have reasons of its own to avoid public oversight. Institutionally the CRS has established an advisory relationship with members of Congress similar to the oversight-free relationship established between intelligence agencies and the office of the President. Free from meaningful public oversight of its work the CRS as """"Congress's brain"""" is able to influence Congressional outcomes even when its reports contain errors. Arguably its institutional power over congress is second only to the parties themselves. Public oversight would reduce its ability to exercise that influence without criticism. That is why it opposes such oversight and that is why such oversight must be established immediately. In 1913 Supreme Court Justice Louis Brandeis a forceful proponent for open government stated """"Sunlight is the best disinfectant; electric light the most efficient policeman"""". Those wise words are still true today. Welcome Congress to our generation's electric sun. Contents 1 The reports 1.1 WikiLeaks 1.2 Mirrors 2 Notes if (window.showTocToggle) { var tocShowText = """"show""""; var tocHideText = """"hide""""; showTocToggle(); } The reports WikiLeaks These are long lists please be patient: Alphabetical list of reports. Chronological list of report We have also merged the reports into OpenCRS. Mirrors browseable archives http://www.club.cc.cmu.edu/pub/wikileaks/wikileaks-crs-reports/ http://ftp.fortunaty.net/org/wikileaks/CRS/wikileaks-crs-reports/ packed http://www.club.cc.cmu.edu/pub/wikileaks/wikileaks-crs-reports.tar.bz2 -- tar.bz2 1.8GB http://ftp.fortunaty.net/org/wikileaks/CRS/wikileaks-crs-reports.zip torrent Torrent: WikiLeaks Document Release: CRS Reports Feb 2009 (full pack incl. metadata for indexing) Where applicable we have also categorized the reports according to country and attached them to our general country index. How many of the reports have not been seen before? Almost all. We have sent the reports to OpenCRS a great service run by the Center for Democracy and Technology which collects released CRS reports. Of the 6731 reports we sent to OpenCRS 6284 were new to the OpenCRS collection. Many CRS reports focus on long-term issues such as the United States relationship with other countries or key legislation. These reports keep the same report number over decades of editions. Of the 6284 reports not in OpenCRS 4079 were new editions and 2205 were completely new. You can quickly see possible older CRS report editions by following the OpenCRS link on the bottom right of any reports Wikileaks information page. Topic specific indexes (contribute!) India Pakistan Kashmir and the sub-continent More information on the CRS Congressional Research Service annual report OpenCRS Frequently Asked Questions Excellent Source Watch article on the CRS Notes ↑ http://www.cdt.org/righttoknow/10mostwanted/ 10 Most Wanted Government Documents ↑ http://www.washingtonpost.com/wp-dyn/content/article/2007/02/18/AR2007021801064_pf.html ↑ http://www.wired.com/wired/archive/8.11/govdocs.html ↑ http://www.washingtonpost.com/wp-dyn/content/article/2007/02/18/AR2007021801064_pf.html ↑ http://www.fas.org/sgp/news/2003/12/crs.html Retrieved from """"https://www.wikileaks.org/wiki/Change_you_can_download:_a_billion_in_secret_Congressional_reports"""" Categories: Analyses | United States | 2009 | 2009-02 | Leaked files""",Private
"' collection of over 6500 Congressional Research Service (CRS) documents. The CRS is an agency of the United States Library of Congress tasked with """"providing policy and legal analysis to committees and Members of both the House and Senate regardless of party affiliation.""""[1] Although all CRS reports are legally in the public domain they are quasi-secret because CRS does not make them available to the public nor provide any sort of catalog or index.[2] CRS reports are highly regarded as in-depth accurate objective and timely and topped the list of """"10 Most-Wanted Government Documents"""" in a 1996 survey by the Center for Democracy and Technology.[3] While CRS products are already available electronically to """"members of Congress Congressional committees and CRS sister agencies (e.g. GAO)"""" through the internal """"CRS Web"""" system there is no public access as independent librarian Stephen Young notes: CRS produces a number of document types although the most commonly requested are the reports (almost 4000 reports are currently in existence). The purpose of a report is to clearly define the issue in the legislative context. The reports may take many forms including policy analysis economic studies statistical reviews and legal analyses. ... Over 700 new CRS reports are produced each year and made available on CRS Web to the select groups identified above. ... All of these documents are produced at the request of and for the use of members of Congress. They are not intended for public consumption or for dissemination to libraries.[4] Many but not all CRS reports can be obtained through specialized publishers such as Penny Hill Press or from web archives such as OpenCRS which relies on individual submissions to maintain its collection. OpenCRS has also published instructions for US citizens on how to request reports from their member of congress but neither the Congress nor the CRS are obligated to satisfy such requests (though they could presumably be compelled to do so through the FOIA.) There have been numerous attempts to pass legislation requiring the CRS to make its products available on a public web site including the introduction of bills in 1998 1999 2001 and 2003.[4] All have so far failed to pass. Publicly stated reasons for this include legal liability for CRS findings copyright issues and increased CRS workload. However it is far more more likely that the members of Congress who commission CRS reports wish to maintain control over the distribution of any potentially sensitive conclusions. The CRS report number abstract etc. can be found on each page below as well as a download link to the document in PDF format. ↑ http://www.loc.gov/crsinfo/ Congressional Research Service Employment Home Page ↑ http://opencrs.com/faq.php OpenCRS Frequently Asked Questions ↑ http://www.cdt.org/righttoknow/10mostwanted/ 10 Most Wanted Government Documents ↑ 4.0 4.1 http://www.llrx.com/features/crsreports.htm Guide to CRS Reports on the Web CRS motive for opposing publication. It is probable that as a function of how """"available"""" CRS reports are to non-congressmen CRS also receives pressure by external interests to include or omit certain information within the reports thus violating the integrity of the composition process. By this view a fully open CRS would be a compromised CRS whose reports and briefs would rapidly become useless since they would be sterilized for public scrutiny as they were being written. Typo in PDF title (which appears to affect titles on the wiki as well) Report title has the typo 'Fed4eral' in it appears to be the only occurrence of it in the document; since that title is used for this page's title and the link on the CRS reports by date page they have it as well. Veterans and Agent Orange: Update 2008 (2009) [1] Retrieved from """"https://www.wikileaks.org/wiki/Talk:Change_you_can_download:_a_billion_in_secret_Congressional_reports""""""",Private
"Ethical Considerations CRS report number: RL32113 Author(s): Morton Rosenberg and Jack H. Maskell American Law Division Date: September 25 2003 Abstract When congressional committees engage in oversight of the administrative bureaucracy or when Members of Congress intervene in agency proceedings on behalf of private constituents or other private entities with interests affecting the Members constituency such interventions involve varying degrees of intrusion into agency decisionmaking processes. This report examines the currently applicable legal and ethical considerations and standards that mark the limits of such intercessions. Download PDF version: File | Torrent | Magnet TXT version: File | Torrent | Magnet Retrieved from """"https://www.wikileaks.org/wiki/CRS:_Congressional_Intervention_in_the_Administrative_Process:_Legal_and_Ethical_Considerations_September_25_2003"""" Categories: 2009 | 2009-02 | Authored 2003 | Authored 2003-09 | Leaked files | United States | Congressional Research Service | Bulk""",Private
"Ballots and Card Checks CRS report number: RL32930 Author(s): Gerald Mayer Analyst in Labor Policy Date: January 12 2009 Abstract Legislation was introduced in the 110th Congress that if enacted would have changed current union certification procedures. The Employee Free Choice Act of 2007 H.R. 800 and S. 1041 would require the NLRB to certify a union if a majority of employees sign authorization cards. The Secret Ballot Protection Act H.R. 866 would require secret ballot elections for union certification. Download PDF version: File | Torrent | Magnet TXT version: File | Torrent | Magnet Retrieved from """"https://www.wikileaks.org/wiki/CRS:_Labor_Union_Certification_Procedures:_Use_of_Secret_Ballots_and_Card_Checks_January_12_2009"""" Categories: 2009 | 2009-02 | Authored 2009 | Authored 2009-01 | Leaked files | United States | Congressional Research Service | Bulk""",Private
"32525 Author(s): Frederick M. Kaiser Government and Finance Division Date: September 16 2008 Abstract This report first describes the current select committees on intelligence and then the former Joint Committee on Atomic Energy often cited as a model for a counterpart on intelligence. The study also sets forth proposed characteristics for a joint committee on intelligence differences among these and their pros and cons. The report also examines other actions and alternatives affecting congressional oversight in the field. Download PDF version: File | Torrent | Magnet TXT version: File | Torrent | Magnet Retrieved from """"https://www.wikileaks.org/wiki/CRS:_Congressional_Oversight_of_Intelligence:_Curent_Structure_and_Alternatives_September_16_2008"""" Categories: 2009 | 2009-02 | Authored 2008 | Authored 2008-09 | Leaked files | United States | Congressional Research Service | Bulk""",Private
"General Management Laws: A Compendium CRS report number: RL30795 Author(s): Ronald C. Moe Government and Finance Division Date: May 19 2004 Abstract This is a reference guide to those general management laws that constitute the foundation of governmental administration. It provides a status report of the general management under which the Executive Branch of the federal government operates. Download PDF version: File | Torrent | Magnet TXT version: File | Torrent | Magnet Retrieved from """"https://www.wikileaks.org/wiki/CRS:_General_Management_Laws:_A_Compendium_May_19_2004"""" Categories: 2009 | 2009-02 | Authored 2004 | Authored 2004-05 | Leaked files | United States | Congressional Research Service | Bulk""",Private
"32425 Author(s): Mitchel A. Sollenberger Government and Finance Division Date: June 9 2004 Abstract This report provides background information on and analysis of issues concerning the sensitive security information (SSI) regulations. Additionally it identifies the transportation security and information issues at the heart of this debate. Finally the report outlines and assesses policy options for Congress including endorsing current regulations giving greater specificity to TSAs protection requirements setting time limits for protection creating an advisory commission requiring periodic congressional briefings or establishing an oversight board. Download PDF version: File | Torrent | Magnet TXT version: File | Torrent | Magnet Retrieved from """"https://www.wikileaks.org/wiki/CRS:_Sensitive_Security_Information_and_Transportation_Security:_Issues_and_Congressional_Options_June_9_2004"""" Categories: 2009 | 2009-02 | Authored 2004 | Authored 2004-06 | Leaked files | United States | Congressional Research Service | Bulk""",Private
"/11 Commission Recommendations: Joint Committee on Atomic Energy A Model for Congressional Oversight? CRS report number: RL32538 Author(s): Christopher M. Davis Government and Finance Division Date: October 19 2004 Abstract This report provides an outline of the structure and history of the Joint Committee on Atomic Energy and raises a number of issues that might be considered by policymakers as they weigh the suitability of the JCAE as a possible model when crafting congressional oversight mechanisms. For example one factor that might be weighed by policymakers is evidence that shows that the JCAE was not created to be one of the most powerful committees in congressional history; it evolved into one as a result of personalities and circumstances. Download PDF version: File | Torrent | Magnet TXT version: File | Torrent | Magnet Retrieved from """"https://www.wikileaks.org/wiki/CRS:_911_Commission_Recommendations:_Joint_Committee_on_Atomic_Energy_A_Model_for_Congressional_Oversight%3F_October_19_2004"""" Categories: 2009 | 2009-02 | Authored 2004 | Authored 2004-10 | Leaked files | United States | Congressional Research Service | Bulk""",Private
-2007: History Law and Practice CRS report number: RL34197 Author(s): Morton Rosenberg American Law Division Date: August 20 2008 Abstract This report examines the legal basis for investigative oversight followed by several prominent examples of congressi,Private
"Examination and Analysis of Its Evolving Missions CRS report number: RL34603 Author(s): Shawn Reese Government and Finance Division Date: October 14 2008 Abstract The U.S. Secret Service has two missions - criminal investigations and protection. Criminal investigation activities which have expanded since its inception as a small anti-counterfeiting operation at the end of the Civil War now encompass financial crimes identity theft counterfeiting computer fraud and computer-based attacks on the nation's financial banking and telecommunications infrastructure among other areas. Protection activities which have expanded and evolved since the 1890s include the safety and security of the President Vice President their families and other identified individuals and locations. Download PDF version: File | Torrent | Magnet TXT version: File | Torrent | Magnet Retrieved from """"https://www.wikileaks.org/wiki/CRS:_The_U.S._Secret_Service:_An_Examination_and_Analysis_of_Its_Evolving_Missions_October_14_2008"""" Categories: 2009 | 2009-02 | Authored 2008 | Authored 2008-10 | Leaked files | United States | Congressional Research Service | Bulk""",Private
