Text,DocType
 This bill repeals certain reporting requirements related to foreign affairs specifically requirements for periodic reports on (1) world military expenditures and arms transfers (2) U.S. activities related to the Organization for Security and Cooperation in Europe (3) Foreign Services positions that require foreign language competence and (4) U.S. assistance related to international terrorism.,Public
 As of 02/21/2020 the description for this amendment has not been received. Pursuant to the provisions of H. Res. 741 the amendments to the resolution and preamble recommended by the Committee on Foreign Affairs printed in the resolution modified by the amendments printed in Part B of House Report 116-322 are considered to be adopted. (A001) House Tally Clerks use this code to manage amendment information.,Public
 This bill directs the President to report to Congress on the impact to the national security interests of the United States and regional allies including Israel of Saudi Arabia obtaining nuclear fuel enrichment capabilities through a commercial sale.,Public
 No Art in Embassies Act This bill prohibits the purchase installation insurance or transport of art for display in a U.S. embassy or consulate. ,Public
 No Taxpayer-Funded Art in Embassies Act This bill prohibits the purchase installation insurance or transport of art for display in a U.S. embassy or consulate. ,Public
 Walter B. Jones Restoring Power to Congress Act This bill repeals the Authorization for Use of Military Force signed into law September 18 2001. ,Public
 U.S.-Israel Cooperation Expansion Act This bill states that it is U.S. policy to support bilateral training between U.S. and Israeli law enforcement for sharing best practices related to anti-terrorism community policing and managing mass casualties. ,Public
 Diplomatic Personnel Modernization Act This bill directs the Department of State to provide Congress with a five-year staffing plan. The plan shall contain certain information including a set of comprehensive workforce data and recommendations on the number of Foreign Service officers disaggregated by service cone that should be posted at each foreign mission.  ,Public
 This resolution elects specified Members to the following House Committees: (1) Agriculture; (2) Armed Services; (3) Education and Labor; (4) Foreign Affairs; (5) Homeland Security; (6) the Judiciary; (7) Natural Resources; (8) Oversight and Reform; (9) Rules; (10) Science Space and Technology; (11) Small Business; (12) Transportation and Infrastructure; and (13) Veterans' Affairs.,Public
 This resolution elects specified Members to the following House Committees: (1) Agriculture; (2) Armed Services; (3) Education and Labor; (4) Foreign Affairs; (5) Homeland Security; (6) the Judiciary; (7) Natural Resources; (8) Oversight and Reform; (9) Rules; (10) Science Space and Technology; (11) Small Business; (12) Transportation and Infrastructure; and (13) Veterans' Affairs.,Public
 This resolution expresses support for relations between the United States and Greece and encourages a collaborative focus by the two countries on specific areas including defense and energy. ,Public
 FriendSHIP Act This bill authorizes the President to transfer the TARAWA-class amphibious ship USS NASSAU (LHA-4) to Japan on a sale or grant basis. ,Public
 This joint resolution directs the President to terminate the use of the Armed Forces in the Saudi Arabia-led military intervention in Yemen within 30 days unless Congress enacts a declaration of war or specific authorization for such use of force.,Public
 USAID Branding Modernization Act This bill authorizes the U.S. Agency for International Development (USAID) to use various markings including USAID logos and the U.S. flag to identify overseas USAID programs. The USAID Inspector General shall submit to Congress an audit of compliance with USAID branding requirements by partner entities implementing USAID programs.  Current law requires overseas USAID programs to be identified as American Aid. USAID guidelines authorize the use of the U.S. flag only in certain situations.,Public
 Solar Villages Initiative Act  This bill authorizes the President through the U.S. Agency for International Development to provide assistance for renewable energy projects related to solar technologies in developing countries to increase the availability of credit savings and other services to microfinance and microenterprise clients.   The President shall give priority to empowering female-owned businesses.,Public
 This resolution honors the 100th anniversary of the First Dail the first meeting of the Irish Re's legislature where it declared Irish independence. It also honors the Irish people and their struggle for independence and reaffirms the bonds between the United States and Ireland.,Public
 This resolution expresses recognition of the significance of the enduring political economic and security partnership between the United States and Denmark. The resolution also expresses gratitude to the people of Denmark and members of the Danish military for their efforts and sacrifices to make the world more secure.,Public
 This resolution elects specified Members to the following House Committees: (1) Agriculture (2) Financial Services (3) Foreign Affairs (4) Transportation and Infrastructure and (5) Veterans Affairs.,Public
 This bill requires the Commission for the Preservation of America's Heritage Abroad to (1) identify and publish a list of the cemeteries monuments and historic buildings located abroad that are associated with the foreign heritage of U.S. citizens from the Middle East and North Africa; (2) allow unimpeded access to such sites that are in danger of deterioration or destruction; (3) obtain assurances from foreign governments that such sites in in those regions will be accessible as well as in Eastern and Central Europe; (4) disseminate reports on the accessibility of such sites in all of those regions; and (5) disseminate reports on the condition of and the progress toward the preservation and protection of such sites in the Middle East and North Africa. ,Public
 This bill limits the President's authority to use emergency economic powers to impose duties on items entering the United States.,Public
 This bill prohibits the President from waiving reducing or otherwise limiting the application of sanctions on North Korea until the President certifies to Congress that North Korea has,Public
 Russian-Venezuelan Threat Mitigation Act This bill calls for assessments of Russia's relationship with Venezuela. The Department of State shall report to Congress an assessment of Russia and Venezuela's security cooperation and the threat it poses to countries in the Western Hemisphere including the United States. The State Department shall also devise a strategy to address such a threat. The President shall report to Congress an assessment of the security risks posed by a potential Russian acquisition of CITGO's U.S. energy infrastructure holdings. CITGO is an energy company owned by Petroleos de Venezuela (PdVSA) a Venezuelan state-owned oil company. A Russian state-owned company has extended a loan to PdVSA and a default on that loan could result in Russian ownership of CITGO.  ,Public
 This joint resolution requires either the advice and consent of the Senate or an act of Congress before the President may suspend or withdraw the United States from the North Atlantic Treaty. No funds shall be authorized or appropriated to support any efforts to withdraw from the treaty without the Senate's approval by a two-thirds vote or an act of Congress.  The President shall notify Congress in writing of any effort to suspend or withdraw from the treaty no later than 48 hours after such action. This joint resolution also authorizes the Senate Legal Counsel and the General Counsel of the House of Representatives to represent Congress in judicial proceedings related to actions that are inconsistent with this resolution. ,Public
 This bill removes Pakistan's designation as a major non-NATO ally a status that allows for various benefits such as access to excess U.S. defense supplies and participation in cooperative defense research and development projects.  The President may not redesignate Pakistan a major non-NATO ally without certifying that the country has taken various actions against the Haqqani Network including continuing to conduct military actions against the Taliban-affiliated group and prosecuting its leaders. ,Public
 No Tax Dollars for the United Nations Climate Agenda Act This bill prohibits using federal agency funds to make contributions to or for the Intergovernmental Panel on Climate Change the United Nations Framework Convention on Climate Change or the Green Climate Fund.,Public
 FTO Passport Revocation Act of 2019 This bill authorizes the Department of State to revoke or refuse to issue a passport for an individual who has aided an organization that the State Department has designated as a foreign terrorist organization. Any such individual may request a hearing with the State Department upon being notified of such an action.  ,Public
 This resolution (1) expresses support for the role of the International Atomic Energy Agency (IAEA) in strengthening global nuclear security (2) affirms that the United States has a vital interest in preventing the spread of nuclear weapons and securing nuclear materials and (3) encourages the United States and other IAEA member states to ensure that the IAEA has the necessary resources carry out its duties.,Public
 This resolution condemns the violence that took place in the Senate of Haiti on September 11 2019 expresses support for the Haitian people and their constitution and reaffirms the U.S.-Haiti partnership.,Public
 This resolution expresses the sense of the House of Representatives that specified authorizations for the use of military force do not provide legal justification for war with Iran.,Public
 United States-Israel International Development Cooperation Act of 2019 This bill authorizes projects among the United States Israel and developing countries to support local solutions to sustainability challenges relating to water resources agriculture and energy storage.  The U.S. Agency for International Development may enter into a memorandum of understanding with Israel to work together toward common goals in areas such as energy agriculture democracy human rights economic growth and education. ,Public
 This resolution expresses the sense that the Senate should give its advice and consent to the ratification of the United Nations Covenant on Economic Social and Cultural Rights.,Public
 This resolution expresses the sense of the House of Representatives that the President should redirect foreign assistance to El Salvador Guatemala and Honduras away from the central governments of those countries and towards local governmental private sector and civil society entities that are addressing the causes of illegal immigration into the United States.,Public
 Constitutional Authorities Resolution This joint resolution directs the President to report to Congress before introducing the Armed Forces into Iran. The report shall explain (1) the necessity of such an action (2) the constitutional and legislative authority supporting it and (3) the estimated scope and duration of the hostilities.  ,Public
 This concurrent resolution directs the President to remove the Armed Forces from hostilities in Syria within 30 days except for forces engaged in operations authorized by Congress on September 18 2001. ,Public
 This concurrent resolution expresses the sense of Congress that any future U.S.-Saudi Arabia civilian nuclear cooperation agreement must prohibit Saudi Arabia from enriching uranium or separating plutonium. ,Public
 Pawel Adamowicz Democratic Leadership Exchange Act of 2019 This bill permanently reauthorizes the U.S.-Poland Parliamentary Exchange Program which allows participants from both countries to visit the other to participate in educational and skills-development activities. It also establishes the Pawel Adamowicz Democratic Leadership Exchange Program which is open to eligible adults (the current program is open only to individuals under the age of 19). ,Public
 This resolution expresses the sense of the House of Representatives that (1) targeting or destroying cultural property in the absence of imperative military necessity violates the law of armed conflict and is counter to U.S. values (2) the United States is committed to following the law of armed conflict and the international agreements to which it is a party and (3) the President should not threaten or order the commission of war crimes or other violations of the law of armed conflict.,Public
 This resolution sets forth the levels of payment for 116th Congress expenses (including staff salaries) for the following House Committees: (1) Agriculture; (2) Armed Services; (3) the Budget; (4) Select Committee on the Climate Crisis; (5) Education and Labor; (6) Energy and Commerce; (7) Ethics; (8) Financial Services; (9) Foreign Affairs; (10) Homeland Security; (11) House Administration; (12) Permanent Select Committee on Intelligence; (13) the Judiciary; (14) Select Committee on the Modernization of Congress; (15) Natural Resources; (16) Oversight and Reform; (17) Rules; (18) Science Space and Technology; (19) Small Business; (20) Transportation and Infrastructure; (21) Veterans' Affairs; and (22) Ways and Means. Among other things this resolution (1) prescribes limitations to such expenses for the 1st and 2nd sessions of the 116th Congress and (2) establishes a reserve fund for unanticipated committee expenses for the 116th Congress.,Public
 This resolution elects specified Members to the House Committees on (1) Agriculture; (2) Appropriations; (3) Armed Services; (4) Education and Labor; (5) Energy and Commerce; (6) Financial Services; (7) Foreign Affairs; (8) Homeland Security; (9) the Judiciary; (10) Oversight and Reform; (11) Science Space and Technology; (12) Transportation and Infrastructure; (13) Veterans' Affairs; and (14) Ways and Means.,Public
 This resolution (1) recognizes Georgia's sovereignty and territorial integrity including over the Russian-occupied regions of Abkhazia and South Ossetia;and (2) condemns Syria's decision to recognize the independence of Abkhazia and South Ossetia.,Public
 United Nations Voting Accountability Act of 2019 This bill prohibits giving assistance such as various types of economic support or military training to countries that oppose U.S. positions on more than 50 percent of the recorded votes in the most recent United Nations session.  A country may be exempted if there has been a fundamental change in leadership and policies and the Department of State determines that the country will no longer oppose the U.S. position. The President may exempt a country for U.S. national security interests.,Public
 Yemen Refueling Prohibition Act This bill prohibits obligating or expending federal funds to provide in-flight refueling for aircraft belonging to Saudi Arabia or the Saudi-led coalition as part of the ongoing military intervention in Yemen. ,Public
 This resolution commends the men and women of the U.S. Armed Forces and the intelligence community for carrying out the mission that killed Qasem Soleimani and it reaffirms the House of Representatives' commitment to defeating terrorist organizations that threaten U.S. national security.,Public
 Wartime Contracting Commission Reauthorization Act of 2019 This bill reestablishes the Commission on Wartime Contracting. The commission was established in 2008 to study U.S. wartime contracting in Iraq and Afghanistan. The bill replaces the commission's general duties to direct it to study (1) contracting funded by overseas contingency operations funds and (2) contracting for the logistical support of coalition forces operating under the authority of the 2001 or 2002 Authorization for the Use of Military Force or for the performance of security functions in countries where coalition forces operate under that authority.,Public
 This resolution honors the life accomplishments and legacy of Arthur Simon (founder of the advocacy organization Bread for the World which seeks to end global hunger).,Public
 Iranian Proxies Terrorist Sanctions Act of 2019 This bill directs the President to impose sanctions on As-Saib Ahl al-Haq and Harakat Hizballah al-Nujaba two Iraqi paramilitary groups affiliated with Iran. The sanctions relate to blocking property and transactions and also apply to foreign individuals serving as the groups' officials agents and affiliates.  The President shall submit detailed explanations as to whether sanctions should be imposed on various individuals identified in the bill.  The Department of State shall annually publish a list of groups that receive logistical military or financial support from Iran's Islamic Revolutionary Guard Corps (IRGC) or under the IRGC's influence.,Public
 This resolution expresses the House of Representatives' opposition to a hard border between Northern Ireland and the Re of Ireland which could result from the withdrawal of the United Kingdom (UK) from the European Union (EU).  (Northern Ireland is part of the UK and the Re of Ireland is an EU member state. There is currently an open border between them.) ,Public
 This bill directs the Department of State to include additional information in its annual reports concerning Taiwan's participation at the World Health Organization's World Health Assembly (WHA) as an observer. The report shall describe changes and improvements to the State Department's plan to support Taiwan's observer status at the WHA following any meetings at which Taiwan did not participate under such status. (China has opposed Taiwan's participation based on its position that Taiwan is part of China and not a separate country.) ,Public
 Hong Kong Policy Reevaluation Act of 2019 This bill directs the Department of State to report to Congress on China's activities in relation to Hong Kong.  Hong Kong is a part of China but has a mostly separate legal system which includes protection for civil liberties such as free speech and freedom from arbitrary imprisonment. The United States and Hong Kong have a bilateral relationship separate from the U.S.-China relationship based in part on the existence of Hong Kong's separate legal and economic system. The report shall assess how the Chinese government extradites or coercively moves foreign nationals including U.S. citizens from Hong Kong to mainland China. It shall also describe how China uses Hong Kong to avoid U.S. export controls duties on imported goods and sanctions.  The State Department shall report on China's use of Hong Kong security agencies to (1) conduct espionage against foreign nationals (2) conduct influence operations and (3) violate civil liberties protected under Hong Kong law. ,Public
 This resolution expresses the House of Representatives' opposition to the decision to end U.S. efforts to prevent Turkey's military operations against Kurdish forces in northeast Syria. It also calls on (1) Turkey to immediately cease unilateral military action in northeast Syria and respect existing agreements and (2) the United States to continue supporting Syrian Kurdish communities through military and humanitarian support.,Public
 Old Glory Only Act This bill prohibits the flying of any flag other than the U.S. flag over U.S. diplomatic and consular posts.,Public
 This joint resolution directs the President to remove U.S. Armed Forces from hostilities against Iran unless explicitly authorized by a congressional declaration of war or a specific authorization for use of military force.,Public
 This joint resolution prohibits the proposed sale of various defense articles and related support services as described in license document DDTC-17-079 to the United Arab Emirates the United Kingdom and France. ,Public
 This joint resolution prohibits the issuance of certain manufacturing technical-assistance or export licenses as described in specific license documents by the Department of State to Saudi Arabia and the United Arab Emirates.,Public
