Text,DocType
" Last week, DynCorp International’s (DI) Alliance office in Fort Worth, Texas welcomed Congresswoman Kay Granger for a visit. Congresswoman Granger represents the twelfth congressional district of Texas and won her twelfth term to serve in Congress in 2018. The district she represents is located in North Texas and encompasses parts of Tarrant and Wise counties and all of Parker county. Throughout her tenure, Congresswoman Granger has made a name for herself as a leader in national defense and global security. The congresswoman currently serves as ranking member of the powerful Appropriations Committee, overseeing the entire appropriations process. Prior to becoming ranking member, Granger was chairwoman of the Defense Appropriations Subcommittee. As chairwoman, she directly oversaw fifty percent of all the appropriations spending and made addressing military readiness a top priority. During the congresswoman’s visit, she met with senior executives and held a town hall-style gathering in the lobby where she addressed DI employees. Throughout her visit, senior leadership highlighted DI’s many wins in 2019 and the overall success of the company. After meeting with senior leadership, the congresswoman was welcomed by a sea of red “Support the Troops” shirts in the Alliance office foyer. DI is grateful to Congresswoman Kay Granger for visiting and spending time with our employees to discuss issues that impact our industry.",Public
" On Wednesday, January 29, Commissioner Aaron Demerson of the Texas Workforce Commission (TWC) presented DynCorp International (DI) the “We Hire Vets” award in recognition for its commitment to hiring veterans. The “We Hire Vets” employer recognition program, a partnership between the TWC, Texas Veterans Commission (TVC) and Texas Workforce Solutions, was launched in 2017 to recognize Texas employers for their commitment to hiring veterans and to provide Texas workers who are veterans with a direct link to employment opportunities. Texas is home to more than 565,000 employers and 2.6 million small businesses, and there are 1.7 million veterans in Texas. The program allows employers to apply for the recognition or be nominated by a local workforce development board or TVC partner. “I am excited to celebrate DynCorp International for their efforts in hiring our nation’s heroes,” said TWC Commissioner Representing Employers Aaron Demerson. “With 42 percent of its Texas workforce made up of veterans, DynCorp is ensuring our veterans have the opportunity to experience the same pride and purpose they had while serving.” “The Texas Veterans Commission recognizes companies for focusing on veteran employment,” said Thomas Palladino, TVC executive director. “Because hiring veterans is not good will, it’s good for business.” DI’s Dianne Walker, Human Resources senior vice president and Fred Littleton, Recruiting director received the award on behalf of DI. “Approximately 60 percent of our global workforce are veterans,” said Dianne Walker. “DI has a proud and longstanding legacy of hiring veteran employees.” “In 2019 we hired 483 employees in Texas, more than half of which were veterans,” said Fred Littleton. “Not only do vets bring the skills needed to perform our job requirements, they also help build up our company with values, honor and a mindset of service.”",Public
" In April 2019, a DynCorp International (DI) team from the Patuxent River Naval Air Station program traveled to Ingalls Field in Hot Springs, Virginia, to test the Distributed Aperture Infrared Countermeasure (DAIRCM) system in AH-1Z and MH-60S aircraft. The objective of the detachment was to evaluate the DAIRCM, an improved missile countermeasure system, to determine if the system’s performance was ready for the next phase of testing and fielding. In addition to DI maintenance, the detachment team consisted of about 30 people from NAVAIR, Atlantic Test Range and the Center for Countermeasures, among others. Ingalls Field is an excellent airfield to test with very little traffic on the tip-top of a mountain with terrain sharply dropping off into valleys to the east and west. A challenge that comes with testing on the top of a mountain where field elevation is 3,790 feet, however, is the weather. During the April detachment, the weather varied from 75 degrees Fahrenheit and sunny to driving rain and dense fog with temps barely climbing out of the 40’s. Of course, the day when the MH-60 was due for a full round of torque checks the team was battling heavy rain and visibility down to 100 feet. Although major maintenance was completed on the aircraft prior to detachment, subsequent torque checks on every fastener and driveshaft coupling from the main transmission to the intermediate gearbox were required. This covers a lot of bolts, most of which are very difficult to access, requiring the DI maintainers to contort on top and sometimes inside the aircraft. “Maintenance like this is no small task in the dry hangar back home at Patuxent River,” said Charlie Grogan, DynAviation Navy lead. “Yet our maintenance team executed on the flight line, on the top of a mountain, in the driving elements.” While the rest of the detachment planned the next flight events or analyzed data from the comforts of the hotel, the DI team worked for a full day in the driving rain. Through dedication, skill and resolve, the team got the job done and returned the aircraft to an up status for test execution the next day. The weather cleared, the MH-60 flew, and the detachment team was able to successfully collect and deliver the needed data to bring a more capable system to the fleet. “The magnitude of the work performed by the DI maintenance personnel in the elements and the attitude with which they met their task stands out as a highlight of our time on the mountain,” said a U.S. Navy lieutenant from the detachment.",Public
" DynCorp International’s Alliance office donated 670 pounds of food and approximately 325 toys this week in the Dallas-Fort Worth, Texas metro area. Alliance’s Corporate Security, Facilities and Real Estate department helped organize this year’s charity drives for the Tarrant Area Food Bank (TAFB) and Toys for Tots with a festively decorated donation train. Thank you to everyone who donated! TAFB provides food to 300 partner charities in Tarrant and 12
neighboring counties of the west side of the DFW area. Each month, the network
distributes food to more than 40,000 households and serves more than 500,000
meals to children, the elderly, the disabled, the chronically ill, victims of
abuse and the unemployed. The mission
of the Marine Toys for
Tots Foundation is to assist the U.S. Marine Corps in providing a
tangible sign of hope to economically disadvantaged children at Christmas by
collecting and distributing new, unwrapped toys.",Public
" Navigating the various permissions and licenses to operate in a foreign country can be daunting. DynCorp International’s Afghanistan Operations team is a group of eleven employees that support almost all our programs in Afghanistan. Their special support ranges across many different areas including Security, Personal Security Transport (PST), Tax, Ministry of Foreign Affairs of Afghanistan (MoFA), Administration, and Visa/Liaison support. Much of their work allows the programs in Afghanistan to meet the rule of Afghan law and to ensure that the laws and rules are applied properly and correctly. These team members interact with the various Afghan ministries, ensuring visas and MoFA reference numbers are delivered and processed on time and that comprehensive tax situations are dealt with accurately and correctly. Additionally, the team, led by security director Glen Lewis, ensures that whenever there is an incident, timely and accurate information is disseminated across all channels and levels of DynCorp International. One of the most important challenges this team faces is renewing the Services International LLC/Risk Management Company (SIL/RMC) license each year. Without the license or a letter bridging to the next license, a company can no longer provide RMC services to its customers – in short, the company cannot conduct certain types of business in Afghanistan. Mr. Zubair Wahabzai, the Visa/Government Liaison specialist, took on this difficult challenge even after the Ministry of Interior Counterterrorism Department (MoICT) insisted it would not be willing to give any type of bridging letters to any RMC companies in Afghanistan. After multiple trips around the city of Kabul, including daily trips to the MoICT Department to meet with very senior leaders, his constant engagement, coupled with a lot of finesse, resulted in DynCorp International receiving the very first, highly sought-after bridging letter.",Public
" On the
Afghanistan Life Support Services (ALiSS) program, the DynCorp International
U.S. Embassy Fire Protection team extends their capabilities well beyond just
emergency services. The U.S.
Department of State Magazine recently published an article, Fighting More than Fires, detailing the many community services
performed by the Embassy Kabul Fire Department. Whether reaching out to
neighboring embassies to lend a life-saving hand or mentoring the Afghan Boy
and Girl Scouts for Children’s Peace Day, the fire department provides a unique
service to the mission in an extremely challenging operating environment. “I’d like to
thank the team for their great work,” said Robert Baldrate, ALiSS Fire Chief,
U.S. Embassy Fire Protection. “What they do to serve the embassy and Camp
Alvarado every day is impressive.” About ALiSS DynCorp
International (DI) supports multiple task orders on the Afghanistan Life
Support Services (ALiSS) program, including food service, waste management,
warehouse, transportation, vehicle maintenance and fire and emergency support. In
2017, the Department of State awarded DI Task Order 11 – Fire and Medical
Emergency Support Services, with a base period of one year and four option
years, for a total of $50.1 million. Under this task order, DI offers Emergency
Support Services encompassing Fire and Medical Services at the Embassy Compound
and Camp Alvarado.",Public
" On the Naval Test Wing Pacific (NTWP) program at Point Mugu, California, DynCorp International (DI) employee Wilfredo “Willie” Dumaop performed his routine foreign object debris (FOD) sweep of Bloodhound 303 of the U.S. Navy Air Test and Evaluation Squadron 30 (VX-30). “It was just another routine FOD sweep,” said Willie, DI Quality Assurance (QA) representative. “Then I noticed something hidden behind the pilot’s rudder pedals.” Mr. Dumaop discovered a critical piece of foreign debris, a Stratus inverter power plug, behind the pedals. “Without his diligent efforts and attention to detail, this piece of equipment could have easily fouled vital safety of flight controls resulting in significant damage or even loss of life,” said the U.S. Navy VX-30 Maintenance Officer. “Mr. Dumaop found this missing piece of equipment even before the aircrew or duty officer were able to communicate the potential of hard FOD being adrift in the cockpit or even on the aircraft.” “Willie Dumaop displayed an exemplary commitment to the ideals of safe and effective maintenance, which are the foundation of Naval Aviation,” continued the maintenance officer. “His actions display an example for all to emulate.” For his achievements to improving safety, Mr. Dumaop received a VX-30 Safety Professional award. “I’m proud of Willie for his commitment to safety and his attention to detail, and would like to congratulate him for this most deserved award,” said Bob Sanford, Point Mugu assistant site manager and QA director. About DI’s NTWP Program: DI provides organizational-level aircraft maintenance and logistics support on aircraft, systems/subsystems, aircrew systems, SAR equipment, and Support Equipment (SE) for assigned aircraft (rotary, fixed, lighter-than-air, unmanned), aircraft on-site for project testing, transient aircraft, FMS aircraft, loaner aircraft, training aircraft, and leased aircraft. Work is performed at NAVAIR Point Mugu, located at Naval Base Ventura County, California supporting P-3 and C-130 aircraft and Naval Air Weapons Station (NAWS) at China Lake, California supporting F/A-18A-G, AV-8, T-39 and SH-60 aircraft.",Public
" For the second year, DynCorp International (DI) partnered with the Tragedy Assistance Program for Survivors (TAPS) for the Journey of Hope Charity Golf Tournament on Friday, September 27. $215,750 dollars was raised for TAPS with donations from tournament sponsorships and raffles. President and founder of TAPS, Bonnie Carroll, joined DI and the players at the Bridlewood Golf Club in Flower Mound, Texas for the tournament. “I am so pleased to return to Texas for the Journey of Hope Charity Golf Tournament,” said Bonnie. “The DynCorp family has once again astonished us with their generosity. We are filled with gratitude for the partnership we share to care for families who are grieving the loss of a brave contractor.” The tournament, a four-person golf scramble, had 27 teams participating for first, second and third place winner as well as women’s and men’s longest drives and closest to the pin competitions. “It was a great day out on the golf course and I was proud to participate in such a great event for a greater cause,” said DynLogistics president Randy Bockenstedt. “We surpassed last year’s outstanding fundraising total by an incredible $72,000, all of which goes to critical resources and services in support of military and contractor families who have lost a loved one.” “A big thank you to our DI suppliers and partners whose generosity helped sponsor the tournament, the players who bought raffle tickets and mulligans, and the organizations who donated prizes,” said Billy Harlin from DI’s Supply Chain. “Their support will help to provide grieving families of fallen military the opportunity to heal through the many services provided by TAPS.” About TAPS The Tragedy Assistance Program for Survivors (TAPS) is the leading national organization providing compassionate care and survivor support services for the families of America’s fallen military heroes. Since 1994, TAPS has offered support to more than 90,000 survivors of fallen military in the form of peer-based emotional support, grief and trauma resources, grief seminars and retreats for adults, Good Grief Camps for children, casework assistance, connections to community-based care, online and in-person support groups and a 24/7 resource and information helpline for all who have been affected by a death in the Armed Forces. Services are provided free of charge. TAPS and DynCorp International TAPS has supported many DI families since 2010, and in 2014, DI became the first private company to form an official partnership with TAPS to provide support to families of fallen DI personnel. Through this agreement, TAPS and DI’s Employee Assistance Program (EAP), designed to support DI employees and their families, work together to provide survivors of DI employees comfort and care through comprehensive services and programs including peer-based emotional support, casework assistance, connections to community-based care, and grief and trauma resources. Check out the 2019 Charity Golf Tournament album on DI’s Flickr page!",Public
" Over the last decade, the Tragedy Assistance Program for Survivors (TAPS) has received more than $1.3 million dollars of support through DynCorp International (DI) employee and corporate donations. The “Red Shirt Friday – Support the Troops” campaign alone has generated $135 thousand dollars in contributions from DI employees who purchased a red shirt to wear in support of the sacrifice of our servicemen and women throughout the world. DI’s Journey of Hope charity golf tournaments raised an additional $358 thousand through the sponsorships of DI suppliers, partners and employees. TAPS has supported many DI families since 2010, and in 2014, DI became the first private company to form an official partnership with TAPS to provide support to families of fallen DI personnel. Through this agreement, TAPS and DI’s Employee Assistance Program (EAP), designed to support DI employees and their families, work together to provide survivors of DI employees comfort and care through comprehensive services and programs including peer-based emotional support, case work assistance, connections to community-based care, and grief and trauma resources. DI has lost eighty-five teammates who were supporting U.S. foreign policy objectives. Watch Bonnie Carroll, TAPS founder and president, thank the people of DI in a brief, two-minute video. About TAPS The Tragedy Assistance Program for Survivors (TAPS) is the national organization providing compassionate care for the families of America’s fallen military heroes. When a member of America’s armed forces dies, TAPS is on the front lines providing compassionate care to the families left behind. Since 1994, TAPS has assisted over 80,000 surviving family members, casualty officers and caregivers who are grieving the loss of a military loved one, regardless of the geography or the circumstances of their death.",Public
" DynCorp International (DI) has again earned the Federal Aviation Administration (FAA) Diamond Award for Excellence in recognition of its commitment to aviation maintenance training for Joint Base Andrews. The DI team at Joint Base Andrews in Maryland has earned this prestigious award 15 times. Through this program, DI provides services for the Very Important Person Special Air Mission (VIPSAM) including aircraft maintenance, munitions, base supply and fuels in support of aircraft assigned to the 11th Wing and 89th Airlift Wing. “This award is due entirely to the maintenance team’s dedication and hard work,” said Craig O’Neal, Andrews Support Division, division manager. “And, they’ve pulled this off an incredible 15 years in a row.” The Diamond Award is the highest corporate award and includes both individual and corporate recognition. The award recognizes completion by 100 percent of an organization’s eligible maintenance technicians of specialized, continuous training in aircraft systems, regulations and FAA rules over a 12-month period. In addition to the Diamond Award, which is presented to the company, each mechanic receives an Aviation Maintenance Technician award based on the number of training hours logged. “This is the last time that the team can compete for this award under the VIPSAM name since the contract was divided into five separate programs (Executive Airlift, Rotary Maintenance Wing, Supply and Fuels, Munitions, and Transient Alert) this year,” added Craig. “The team looks forward to continuing its truly amazing run of earning this prestigious award in the future under the Executive Airlift and Rotary Maintenance Wing service contracts.”",Public
