Text,DocType
" On Wednesday, January 29, Commissioner Aaron Demerson of the Texas Workforce Commission (TWC) presented DynCorp International (DI) the “We Hire Vets” award in recognition for its commitment to hiring veterans. The “We Hire Vets” employer recognition program, a partnership between the TWC, Texas Veterans Commission (TVC) and Texas Workforce Solutions, was launched in 2017 to recognize Texas employers for their commitment to hiring veterans and to provide Texas workers who are veterans with a direct link to employment opportunities. Texas is home to more than 565,000 employers and 2.6 million small businesses, and there are 1.7 million veterans in Texas. The program allows employers to apply for the recognition or be nominated by a local workforce development board or TVC partner. “I am excited to celebrate DynCorp International for their efforts in hiring our nation’s heroes,” said TWC Commissioner Representing Employers Aaron Demerson. “With 42 percent of its Texas workforce made up of veterans, DynCorp is ensuring our veterans have the opportunity to experience the same pride and purpose they had while serving.” “The Texas Veterans Commission recognizes companies for focusing on veteran employment,” said Thomas Palladino, TVC executive director. “Because hiring veterans is not good will, it’s good for business.” DI’s Dianne Walker, Human Resources senior vice president and Fred Littleton, Recruiting director received the award on behalf of DI. “Approximately 60 percent of our global workforce are veterans,” said Dianne Walker. “DI has a proud and longstanding legacy of hiring veteran employees.” “In 2019 we hired 483 employees in Texas, more than half of which were veterans,” said Fred Littleton. “Not only do vets bring the skills needed to perform our job requirements, they also help build up our company with values, honor and a mindset of service.”",Public
" In April 2019, a DynCorp International (DI) team from the Patuxent River Naval Air Station program traveled to Ingalls Field in Hot Springs, Virginia, to test the Distributed Aperture Infrared Countermeasure (DAIRCM) system in AH-1Z and MH-60S aircraft. The objective of the detachment was to evaluate the DAIRCM, an improved missile countermeasure system, to determine if the system’s performance was ready for the next phase of testing and fielding. In addition to DI maintenance, the detachment team consisted of about 30 people from NAVAIR, Atlantic Test Range and the Center for Countermeasures, among others. Ingalls Field is an excellent airfield to test with very little traffic on the tip-top of a mountain with terrain sharply dropping off into valleys to the east and west. A challenge that comes with testing on the top of a mountain where field elevation is 3,790 feet, however, is the weather. During the April detachment, the weather varied from 75 degrees Fahrenheit and sunny to driving rain and dense fog with temps barely climbing out of the 40’s. Of course, the day when the MH-60 was due for a full round of torque checks the team was battling heavy rain and visibility down to 100 feet. Although major maintenance was completed on the aircraft prior to detachment, subsequent torque checks on every fastener and driveshaft coupling from the main transmission to the intermediate gearbox were required. This covers a lot of bolts, most of which are very difficult to access, requiring the DI maintainers to contort on top and sometimes inside the aircraft. “Maintenance like this is no small task in the dry hangar back home at Patuxent River,” said Charlie Grogan, DynAviation Navy lead. “Yet our maintenance team executed on the flight line, on the top of a mountain, in the driving elements.” While the rest of the detachment planned the next flight events or analyzed data from the comforts of the hotel, the DI team worked for a full day in the driving rain. Through dedication, skill and resolve, the team got the job done and returned the aircraft to an up status for test execution the next day. The weather cleared, the MH-60 flew, and the detachment team was able to successfully collect and deliver the needed data to bring a more capable system to the fleet. “The magnitude of the work performed by the DI maintenance personnel in the elements and the attitude with which they met their task stands out as a highlight of our time on the mountain,” said a U.S. Navy lieutenant from the detachment.",Public
" Navigating the various permissions and licenses to operate in a foreign country can be daunting. DynCorp International’s Afghanistan Operations team is a group of eleven employees that support almost all our programs in Afghanistan. Their special support ranges across many different areas including Security, Personal Security Transport (PST), Tax, Ministry of Foreign Affairs of Afghanistan (MoFA), Administration, and Visa/Liaison support. Much of their work allows the programs in Afghanistan to meet the rule of Afghan law and to ensure that the laws and rules are applied properly and correctly. These team members interact with the various Afghan ministries, ensuring visas and MoFA reference numbers are delivered and processed on time and that comprehensive tax situations are dealt with accurately and correctly. Additionally, the team, led by security director Glen Lewis, ensures that whenever there is an incident, timely and accurate information is disseminated across all channels and levels of DynCorp International. One of the most important challenges this team faces is renewing the Services International LLC/Risk Management Company (SIL/RMC) license each year. Without the license or a letter bridging to the next license, a company can no longer provide RMC services to its customers – in short, the company cannot conduct certain types of business in Afghanistan. Mr. Zubair Wahabzai, the Visa/Government Liaison specialist, took on this difficult challenge even after the Ministry of Interior Counterterrorism Department (MoICT) insisted it would not be willing to give any type of bridging letters to any RMC companies in Afghanistan. After multiple trips around the city of Kabul, including daily trips to the MoICT Department to meet with very senior leaders, his constant engagement, coupled with a lot of finesse, resulted in DynCorp International receiving the very first, highly sought-after bridging letter.",Public
" On the Naval Test Wing Pacific (NTWP) program at Point Mugu, California, DynCorp International (DI) employee Wilfredo “Willie” Dumaop performed his routine foreign object debris (FOD) sweep of Bloodhound 303 of the U.S. Navy Air Test and Evaluation Squadron 30 (VX-30). “It was just another routine FOD sweep,” said Willie, DI Quality Assurance (QA) representative. “Then I noticed something hidden behind the pilot’s rudder pedals.” Mr. Dumaop discovered a critical piece of foreign debris, a Stratus inverter power plug, behind the pedals. “Without his diligent efforts and attention to detail, this piece of equipment could have easily fouled vital safety of flight controls resulting in significant damage or even loss of life,” said the U.S. Navy VX-30 Maintenance Officer. “Mr. Dumaop found this missing piece of equipment even before the aircrew or duty officer were able to communicate the potential of hard FOD being adrift in the cockpit or even on the aircraft.” “Willie Dumaop displayed an exemplary commitment to the ideals of safe and effective maintenance, which are the foundation of Naval Aviation,” continued the maintenance officer. “His actions display an example for all to emulate.” For his achievements to improving safety, Mr. Dumaop received a VX-30 Safety Professional award. “I’m proud of Willie for his commitment to safety and his attention to detail, and would like to congratulate him for this most deserved award,” said Bob Sanford, Point Mugu assistant site manager and QA director. About DI’s NTWP Program: DI provides organizational-level aircraft maintenance and logistics support on aircraft, systems/subsystems, aircrew systems, SAR equipment, and Support Equipment (SE) for assigned aircraft (rotary, fixed, lighter-than-air, unmanned), aircraft on-site for project testing, transient aircraft, FMS aircraft, loaner aircraft, training aircraft, and leased aircraft. Work is performed at NAVAIR Point Mugu, located at Naval Base Ventura County, California supporting P-3 and C-130 aircraft and Naval Air Weapons Station (NAWS) at China Lake, California supporting F/A-18A-G, AV-8, T-39 and SH-60 aircraft.",Public
" Over the last decade, the Tragedy Assistance Program for Survivors (TAPS) has received more than $1.3 million dollars of support through DynCorp International (DI) employee and corporate donations. The “Red Shirt Friday – Support the Troops” campaign alone has generated $135 thousand dollars in contributions from DI employees who purchased a red shirt to wear in support of the sacrifice of our servicemen and women throughout the world. DI’s Journey of Hope charity golf tournaments raised an additional $358 thousand through the sponsorships of DI suppliers, partners and employees. TAPS has supported many DI families since 2010, and in 2014, DI became the first private company to form an official partnership with TAPS to provide support to families of fallen DI personnel. Through this agreement, TAPS and DI’s Employee Assistance Program (EAP), designed to support DI employees and their families, work together to provide survivors of DI employees comfort and care through comprehensive services and programs including peer-based emotional support, case work assistance, connections to community-based care, and grief and trauma resources. DI has lost eighty-five teammates who were supporting U.S. foreign policy objectives. Watch Bonnie Carroll, TAPS founder and president, thank the people of DI in a brief, two-minute video. About TAPS The Tragedy Assistance Program for Survivors (TAPS) is the national organization providing compassionate care for the families of America’s fallen military heroes. When a member of America’s armed forces dies, TAPS is on the front lines providing compassionate care to the families left behind. Since 1994, TAPS has assisted over 80,000 surviving family members, casualty officers and caregivers who are grieving the loss of a military loved one, regardless of the geography or the circumstances of their death.",Public
" DynCorp International (DI) has again earned the Federal Aviation Administration (FAA) Diamond Award for Excellence in recognition of its commitment to aviation maintenance training for Joint Base Andrews. The DI team at Joint Base Andrews in Maryland has earned this prestigious award 15 times. Through this program, DI provides services for the Very Important Person Special Air Mission (VIPSAM) including aircraft maintenance, munitions, base supply and fuels in support of aircraft assigned to the 11th Wing and 89th Airlift Wing. “This award is due entirely to the maintenance team’s dedication and hard work,” said Craig O’Neal, Andrews Support Division, division manager. “And, they’ve pulled this off an incredible 15 years in a row.” The Diamond Award is the highest corporate award and includes both individual and corporate recognition. The award recognizes completion by 100 percent of an organization’s eligible maintenance technicians of specialized, continuous training in aircraft systems, regulations and FAA rules over a 12-month period. In addition to the Diamond Award, which is presented to the company, each mechanic receives an Aviation Maintenance Technician award based on the number of training hours logged. “This is the last time that the team can compete for this award under the VIPSAM name since the contract was divided into five separate programs (Executive Airlift, Rotary Maintenance Wing, Supply and Fuels, Munitions, and Transient Alert) this year,” added Craig. “The team looks forward to continuing its truly amazing run of earning this prestigious award in the future under the Executive Airlift and Rotary Maintenance Wing service contracts.”",Public
" The DynCorp International (DI) teams may have had more fun playing tournaments with their mini-golf greens than constructing them! The results are in from July’s DynFun activity, a miniature golf course construction contest. Teams worked inventively to build an individual putt-putt hole to incorporate into a DI-wide virtual golf course spread throughout the globe. The team on LOGCAP’s NTC program in Fort Irwin, California, built a putt-putt hole symbolizing their base in the desert. It included course features representative of many elements of their location: the historical Painted Rocks near the main gate, the High Mobility, Multi-Purpose, Wheeled Vehicle that DI maintains, the M113 Armored Personnel Carrier that DI also maintains, the UH-60 Blackhawk helicopter to represent the DI Air Traffic Controllers, orange cones to represent the Vehicle Issue Yard and Rotational Unit Field Maintenance Area where vehicles are transferred to/from DI for test, repair & inspection, the ammunition can representing the Theatre Ammunition Supply Point, the brake rotor and exhaust pipe to represent other maintenance facilities, and finally, the cactus, donkeys and coyotes to represent the desert. The Accounts Payable team in Fort Worth, Texas went with a tropical luau party theme, featuring pool noodle guides, a tiki windmill, a metal filing rack tunnel, a pool float trap and a hibiscus flower ramp. They had an honor system on scorecards emphasizing fair play for their tournament prize. Alliance Security and Facilities in Fort Worth, Texas set up a Team dysFUNctional hole featuring an Edward Snowden and Leonard Moss starting tee with vintage cartoon burglars and insider threat ‘shadow man’ tube obstacles, with the finish in a DI Mailroom mailbox. At the McLean, Virginia office, team Corporate Security, Facilities & Real Estate created a carnival-game type putt-putt green with three alternative scoring options, the ultimate goal score being Security Superstar! They played the DI Security Open Mini Golf Tournament, which resulted in a four-way tie. A shootout was conducted among the winners, and Dorian Amstel resulted victorious with a Security Awareness medallion. Corporate Human Resources in Fort Worth, Texas, created green ‘Dyn O Mite’ with a prehistoric theme. The putt-putt hole featured an erupting volcano, plastic bin water feature with mini boulders, velociraptor and T-rex obstacles, tropical pterodactyl, and a whiteboard backdrop with dry-eraser artwork. Congratulations to our winners, a tie between Human Resources and Alliance Security & Facilities. Both teams pushed their creative limits while staying within the contest size guidelines! All five of our terrific putt-putt green designing teams will receive a prize for their innovative creations. Check out the mini-golf Flickr album of the DI teams playing their miniature golf holes!",Public
" Washington
Technology has released their 2019
list of the 100 largest government contractors according to prime
contracting dollars. This year, DynCorp International is ranked 28th,
based on 2018 prime contracts. About Washington
Technology Top 100 List Washington Technology’s list is a barometer of the federal market’s competitive landscape. It measures contractors according to their prime contracts in the areas of IT, systems integration, professional services, telecommunications and other high-tech services areas.",Public
" This month, employees from DynCorp International’s (DI) McLean, Virginia and Fort Worth, Texas offices collected dresses, shoes and accessories to donate to the USO of Metropolitan Washington-Baltimore (USO-Metro). USO-Metro is a nonprofit organization chartered by Congress, and dedicated to “serving those who serve, and their families” in Washington D.C., Maryland and Northern Virginia. With the help of thousands of devoted volunteers, USO-Metro provides programs and services for active duty troops and their families at area military hospitals, USO Centers, USO airport lounges and a Mobile USO. Most branches of service have at least one anniversary ball or recognition “gala” each year. These special events can be intimidating and uncomfortable considering the etiquette and protocol associated with attending these functions. USO-Metro puts on a full day event, called Project Cinderella, which empowers women with interactive workshops on beauty and etiquette. It culminates with the women choosing from a selection of donated items, both a formal gown and accessories. This program is designed to help offset the costs of expensive military balls and other formal functions. In total, DI collected 37 dresses, 11 pairs of shoes, 4 purses and 27 articles of jewelry.",Public
" DynCorp International (DI) hosted students from the National Defense University (NDU) at the McLean, Virginia office on Friday, April 12. The students are part of the National Defense University’s competitive Dwight D. Eisenhower School for National Security and Resource Strategy. The nearly year-long curriculum prepares select military officers and civilians for leadership roles and success in developing national security strategy. Graduates are taught skills that can be used to better evaluate, marshal, and manage resources in the execution of military strategies. Many graduates of the program go on to hold leadership positions throughout the government and become executives in industry. Topics varied from an overview of what DI does, to specific program details, to finance. One area of concentration was DynCorp International’s ability to stand up high-performing, rapid response teams that offer unique, tailored solutions. For example, there were questions about how DI approaches complex tasks like responding to natural disasters when resources can be scarce and needs are ever-changing. The group was also interested in learning how DI successfully implements large scale programs quickly while maintaining our high-quality standards and our companies’ core values. The seventeen scholars represented a diverse group with a wide array of experience and included members of U.S. Armed Forces, select inter-agency civilians, and representatives from Tanzania, Croatia, Italy, and Bosnia and Herzegovina armed forces. Attendees hold ranks in the military including Commanders, Lieutenants, Lieutenant Colonels and Colonels. The group heard from three presenters, Jim Cassella, SVP Business Development; Janet Oliver, SVP Business Development; and Robert Tillery, SVP Operations. We look forward
to continuing to engage with the National Defense University for years to come!",Public
