Text,DocType
" Now on Digital and DVD Self-destructive journalist Pierre Peders (Buscemi) is no stranger to violence and inhumanity.  Having made his name as a war reporter, he has traveled the world seeing some of the most horrifying sights imaginable.  So he feels that his current puff-piece assignment, an interview with pop diva, TV and movie star Katya  (Miller), is beneath his dignity.  The two meet in a restaurant and, instantly, it's a collision of two worlds -- Pierre's serious political focus and Katya's superficial world of celebrity.  But perhaps all is not as it appears. When Pierre is slightly injured in a traffic accident inadvertently caused by Katya -- she's the proverbial girl who causes traffic accidents -- they end up in Katya's spacious loft for a long night of talking, drinking, sparring, and coming close to a sort of embattled intimacy.  Each is scarred in their own way, aching from deep, hidden pain.  But honest revelations give way to punishing deceptions.  Their confrontation evolves into a passionate verbal chess game spiked with wit, intrigue and sexual tension, capped with a riveting twist ending.",Public
" Now on Digital, Blu-ray™ and DVD Dave Skylark (James Franco) and his producer Aaron Rapaport (Seth Rogen) run the popular celebrity tabloid TV show ‘Skylark Tonight.’ When they discover that North Korean leader Kim Jong-un is a fan of the show, they land an interview with him in an attempt to legitimize themselves as journalists. As Dave and Aaron prepare to travel to Pyongyang, their plans change when the CIA recruits them, perhaps the most unlikely candidates, to “take out” Kim Jong-un.",Public
" Now on DVD Narrated by Academy Award®-nominated actor Liam Neeson (1993, Best Actor, Schindler’s List), THE ENDURANCE is a faithful and dramatic documentary of the ill-fated expedition to Antarctica by Sir Ernest Shackleton from 1914-1916. Featuring interviews with family, on-location footage, archived audio interviews and letters from the expedition members, as well as still photography from the journey, THE ENDURANCE is a compelling and complete look into the men who boldly took on an impossible task, and tried to survive when all hope seemed lost. Newly remastered.",Public
" Now on Digital and DVD This chilling psychological drama stars Christian Slater (True Romance, Interview with a Vampire),
Molly Parker (TV's ""Deadwood"", The Center of the World) and Stephen Rea (The Crying Game, The End of the Affair), and tells the story of a priest who fights to clear the name of a fellow priest accused of murder only to find out that the truth will test his faith to the limit and put his only trust in the woman he let go.",Public
" Now on Digital and DVD Narrated by Kenneth Branagh and Glenn Close, ANNE FRANK REMEMBERED features vintage newsreels, photographs and even a rare home movie to look beyond the celebrated pages of Anne's diary. In surprising, often emotional interviews with Anne's family, friends and her heroic protector Miep Gies, Anne'slife serves once more as an unforgettable symbol of--and tribute to--the many lives lost in the Holocaust.",Public
" Now on DVD In the most provocative film of the year, Academy Award(r)-winner Michael Moore (2002, Best Documentary, Bowling for Columbine) presents a searing examination of the role played by money and oil in thewake of the tragic events of 9/11. Moore blends captivating and thought-provoking footage with revealing interviews, while balancing it all with his own brand of humor and satire.",Public
" Now on Digital and DVD A classic screwball comedy in which Russell plays reporter Hildy Johnson, who, on the eve of her remarriage, is talked into one more assignment by her editor and ex-husband, Grant. While interviewing a condemned man, Hildy realizes that his hanging is planned as a vote-getting measure. Spontaneously, she helps the man escape.",Public
" Now on DVD He was a boy from Tupelo who grew up to become the biggest star in music. Along the way, he absorbed a staggering range of influences, creating a revolutionary sound in his lifelong search for self-expression. Following his creative journey from childhood through the final 1976 Jungle Room recording sessions, Elvis Presley: The Searcher includes never-before-seen photos and footage from private collections worldwide, stunning atmospheric shots taken inside Graceland, Elvis’ iconic home, and more than 20 new interviews with Priscilla Presley and the many artists, session players, producers, engineers and directors who knew him or who were profoundly influenced by him.",Public
" Now on Digital and DVD His drawings and sketches are exhibited and sold worldwide. Beck, Wilco, Sonic Youth and Pearl Jam have recorded his songs. But beneath Daniel Johnston's success as an artist and musician is an incredible story of genius touched by madness: diagnosed as manic-depressive, Johnston has spent the last three decades of his life in-and-out of mental institutions. Told through a compelling combination of interviews, home movies and performance footage, THE DEVIL AND DANIEL JOHNSTON is ""a harrowing, hilarious and ultimately moving new documentary film"" (Jim Farber, New York Daily News).  ""****"" (Elizabeth Weitzman, New York Daily News)!",Public
" Now on Digital An eminent psychiatrist vanishes from his office, and the last person to see him is a troubled patient named Michael. The hospital director, Dr Greenberg, is called in to help. He insists on interviewing Michael, despite the warnings of Nurse Peterson, who understands all too well the devastating loss that still haunts Dr Greenberg. Michael prattles on about elephants and opera (with the occasional hint of murder and foul play), luring the hospital director into a devious trap. Dr Greenberg will have to face the truth of his actions, and the price he pays for redemption will be a heavy one...",Public
" Now on Digital The definitive portrait of one of history’s most extraordinarily talented women. Go beyond Callas, the original diva, and meet Maria, the woman who longed for a normal life. Told through private letters, unpublished memoirs, performances and TV interviews, Maria By Callas is the first film to tell the life story of the legendary Greek-American opera singer completely in her own words with never-before-seen footage. The film reveals a woman who rose from humble beginnings to become a glamorous international superstar and one of the greatest artists of all time. ",Public
" Now on Digital and DVD Christian Slater stars in the action-packed sequel to the box office hit Hollow Man as a volunteer soldier/assassin who goes mad after he turns invisible. A driven Seattle detective, Frank Turner, and the molecular biologist, Maggie Dalton, he's been assigned to protect, find themselves on the run from an undetectable solider gone rogue as he destroys everything in his path in order to  find the serum to save his life and punish the unscrupulous scientists and agents of the government responsible for this creation . . . Stars Christian Slater (True Romance, Interview with a Vampire), Peter Facinelli (The Scorpion King, TV's ""Fastlane"") and Laura Regan (Unbreakable).",Public
" Now on Digital and DVD Jules is a bright and sassy 17 year-old who desperately wants to leave her Midwestern family's alumni traditions behind, but to get to her once-in-a-lifetime Harvard admissions interview, Jules is forced to hitch a ride with her twin sister/nemesis, Madison, who is headed to a beauty pageant. Their road trip takes a turn when the teenage sisters unwittingly come into possession of a stolen jewel and are pursued by dangerous thieves.",Public
 Now on Digital and DVD Travolta stars as a ROLLING STONE reporter covering two hot stories. One concerns a businessman arrested on drug charges and the other is about a health club which Travolta believes is a singles bar. The aerobics instructor grants him an interview only after being assured that he is doing a glowing report of her club.,Public
" Now on Digital In 1962, Francois Truffaut persuaded Alfred Hitchcock to sit with him for a week long interview in which the great British auteur would share with his young admirer the secrets of his cinema. Based on the original recordings of this meeting-used to produce the seminal book ""Hitchcock/Truffaut”-this film illustrates the greatest cinema lesson of all time and plunges us into the world of the creator of Psycho, The Birds and Vertigo. Hitchcock's singular vision is elucidated and brought vividly to life by today's leading filmmakers: Martin Scorsese, David Fincher, Arnaud Desplechin, Kiyoshi Kurosawa, Wes Anderson, James Gray, Olivier Assayas, Richard Linklater, Peter Bogdanovich, and Paul Schrader. ",Public
