Text,DocType
amend federal water pollution control act establish decentralize wastewater grant program purpose,Public
amend public health service act establish grant program support trauma center violence intervention violence prevention program purpose,Public
authorize secretary education make grant eligible school assist school discontinue use derogatory discriminatory name depiction team name mascot nickname purpose,Public
authorize secretary interior conduct study ass suitability feasibility designate certain land great dismal swamp national heritage area purpose,Public
redesignate weir farm national historic site state connecticut weir farm national historical park,Public
amend internal revenue code allow certain qualify counter security treat readily trade establish security market purpose diversification requirement employee stock ownership plan,Public
expedite streamline deployment affordable broadband service tribal land purpose,Public
require secretary homeland security establish border enforcement security task force unit investigate transnational criminal organization arm smuggle across international border united state mexico purpose,Public
eliminate asset limit employ certain federally fund mean test public assistance program purpose,Public
provide issuance commemorative postage stamp honor george henry white,Public
provide work ally seek increase compliance china certain oecd export credit standard,Public
amend solid waste disposal act reduce production use certain single use plastic product packaging improve responsibility producer design collection reuse recycle disposal consumer product packaging prevent pollution consumer product packaging enter animal human food chain waterway purpose,Public
amend security exchange act revise shareholder threshold registration act issuer receive support certain federal universal service support mechanism purpose,Public
provide inspector general department veteran affair testimonial subpoena authority purpose,Public
authorize administrator environmental protection agency award grant entity enable entity participate decision impact health safety community connection release certain hazardous air pollutant permit solid waste disposal facility hazardous waste facility purpose,Public
decrease incidence food waste purpose,Public
amend uniformed overseas citizen absentee voting act ensure absent uniformed service voter serve diplomatic consular post united state able receive transmit balloting material manner right protection absent uniformed service voter act purpose,Public
amend title united state code authorize provision technical assistance preserve america program direct secretary interior enter partnership community adjacent unit national park system leverage local cultural heritage tourism asset,Public
amend family medical leave act title united state code allow employee take additional leave parental involvement leave participate attend child grandchild educational extracurricular activity purpose,Public
amend internal revenue code permit treatment child care payment elective deferral purpose employer match contribution purpose,Public
direct attorney general prioritize investigation prosecution federal firearm offense purpose,Public
amend fair labor standard act exempt certain employee engage outdoor recreational outfit guide service minimum wage maximum hour requirement,Public
amend internal revenue code require disclosure notification intent operate section c,Public
amend title xviii social security act permit use certain psychological evaluation via telehealth medicare coverage neurostimulation service treatment chronic pain,Public
shore act,Public
restrict availability federal fund organization associate abortion industry,Public
protect american worker enterprise chinese foreign effort extraterritorially censor free speech inhibit lawful advocacy purpose,Public
require state tuition certain americorps volunteer purpose,Public
dhs illicit cross border tunnel defense act,Public
exempt certain traveler certain requirement real id act purpose boarding federally regulate commercial aircraft purpose,Public
consumer protection surprise medical bill act,Public
amend internal revenue code provide reporting certain investor respect certain specify medical care provider,Public
federal law enforcement training research reporting act,Public
state local cybersecurity improvement act,Public
homeland security acquisition professional career program act,Public
hospice act,Public
permit territory united state provide furnish statue placement national statuary hall,Public
amend title iv employee retirement income security act require pension benefit guaranty corporation case airline pilot require regulation retire age compute actuarial value monthly benefit form life annuity commence age,Public
provide clarification regard common usual name bison compliance section federal food drug cosmetic act purpose,Public
amend title xxvii public health service act internal revenue code employee retirement income security act require health plan provide participant beneficiary enrollee advanced explanation benefit respect item service schedule receive provider facility amend title xi social security act require health care provider health care facility provide good faith estimate expect charge furnish item service,Public
amend title xxvii public health service act internal revenue code employee retirement income security act title xi social security act require group health plan health insurance issuer provide certain coverage case change provider network status purpose,Public
adjust amount monthly old age survivor disability insurance payment title ii social security act base locality base comparability payment rate,Public
amend immigration nationality act repeal public charge ground deportability purpose,Public
provide direct appropriation certain housing program purpose,Public
require secretary transportation set aside certain amount provide build program rural area purpose,Public
require transportation security administration provide nursing facility paid parental leave administration personnel purpose,Public
amend high education act improve american history freedom grant program,Public
amend title xxvii public health service act internal revenue code employee retirement income security act require group health plan health insurance issuer include certain information health insurance membership card issue plan issuer,Public
amend title xviii social security act provide coverage rural emergency medical access service medicare program purpose,Public
amend title xxvii public health service act internal revenue code employee retirement income security act title xi social security act improve availability accuracy provider directory information make available group health plan health insurance issuer offering group individual health insurance coverage,Public
amend title vii public health service act provide loan repayment program hiv clinical dental workforce purpose,Public
reauthorize high speed rail corridor development program purpose,Public
dhs blue campaign enhancement act,Public
washington c admission act,Public
tsa child care act,Public
amend title united state code establish procedure remand civil action remove service forum defendant purpose,Public
ban surprise billing act,Public
amend federal water pollution control act respect normal farm activity require corp engineer environmental protection agency apply certain decision secretary agriculture enforce act purpose,Public
relief cesar carlos silva rodriguez,Public
amend title united state code respect funding recreational trail program require study determine best available estimate total amount nonhighway recreational fuel tax receive secretary treasury purpose,Public
enhance consumer access electric energy natural gas information allow adoption innovative product service help consumer manage energy usage purpose,Public
transfer administration h program secretary labor secretary agriculture purpose,Public
amend public health service act expand research education respect endometrial cancer purpose,Public
ensure operational control southwest border purpose,Public
amend internal revenue code repeal restriction designate beneficiary may receive life beneficiary require distribution define contribution plan,Public
special envoy refugee act,Public
amend public health service act reauthorize extend fetal alcohol spectrum disorder prevention service program purpose,Public
small business child care investment act,Public
prevent sexual harassment public housing act,Public
department energy nuclear regulatory commission whistleblower protection act,Public
va quality health care accountability transparency act,Public
joseph ainsworth act,Public
support minority stem student career act,Public
equitable transit orient development support act,Public
nest act,Public
amend title united state code make individual eligible educational assistance chapter title transfer educational assistance dependent fails complete service agreement solely liable overpayment educational assistance,Public
safe community act,Public
grand jury reform act,Public
cool period elimination act,Public
police accountability act,Public
repeatedly flood community preparation act,Public
america red rock wilderness act,Public
veteran hope act,Public
freight restriction elimination safer haul act,Public
veteran stem scholarship enhancement act,Public
federal initiative guarantee health target fentanyl act,Public
ev freedom act,Public
sham act,Public
accreditation reform act,Public
ensure act,Public
vet tec expansion act,Public
school safety act,Public
syllable act,Public
national telehealth strategy data advancement act,Public
transform hire rural industry vital economy act,Public
auto veteran act,Public
grid security research development act,Public
gateway career act,Public
ceiling fan improvement act,Public
military save act,Public
resiliency enhancement act,Public
pension corrupt politician act,Public
rural er access act,Public
modify authorization project navigation purpose,Public
conveyance capacity correction act,Public
electric vehicle underserved community act,Public
streamline gi bill processing act,Public
affordable insulin act,Public
job job earn learn training apprenticeship young african american act,Public
st croix national heritage area act,Public
amend internal revenue code provide special rule purpose determine financial guaranty insurance company qualify insurance corporation passive foreign investment company rule,Public
bridge investment act,Public
clearing line along electrical risk zone act,Public
protect silo smokestack national heritage area act,Public
energy price act,Public
strengthen innovation medicare medicaid act,Public
save girl sex traffic act,Public
blast exposure protection act,Public
direct secretary defense implement safe report policy applicable across arm force,Public
voluntary grazing permit retirement act,Public
transnational white supremacist extremism review act,Public
judicial branch senior executive leave efficiency modernization act,Public
neighbor enemy act,Public
firm act,Public
lead va act,Public
transportation funding accountability transparency act,Public
national strategy pandemic influenza update act,Public
protect american seasonal influenza act,Public
food safety modernization innovative technology act,Public
research act,Public
senior housing ira act,Public
hong kong water act,Public
day accountability veteran enhancement act,Public
public health emergency fund act,Public
brave act,Public
resource prevent youth vaping act,Public
amend fair credit reporting act prohibit creation sale trigger lead purpose,Public
close act,Public
protect natural gas consumer overcharge act,Public
end epidemic gun violence build safer community strengthen federal firearm law support gun violence research intervention prevention initiative,Public
safer voter act,Public
petfax act,Public
safeguard readiness military aviation training act,Public
safe base act,Public
nationwide right unionize act,Public
designate facility united state postal service locate league irvine california tuskegee airman lieutenant colonel robert j friend memorial post office building,Public
workforce mobility act,Public
climate resilient community act,Public
empower immigration court act,Public
protect american voter act,Public
danger pay u marshal act,Public
increase access multiple use act,Public
coal tecc act,Public
privcy act,Public
protection woman girl sport act,Public
care veteran caregiver act,Public
resilient highway act,Public
voluntary checkoff program participation act,Public
