Text,DocType
confirm usf mnd significant action mnc mnd event department state convoy held iraqi police nov op,Private
joint defense operation center receive report four vehicle personal security detail enter entry control point iz first three vehicle make iz principle fourth vehicle stop ia claim personal security detail take picture entry control point iraqi captain assault personal security detail escalation force ia dispatch quick reaction force entry control point cause ia bring ia soldier total four five personal security detail member vehicle arrest assault arrest weapon confiscate iz ip x x x four personal security detail member take forward operating base honor,Private
c small arm fire attack contractor set convoy six vehicle transport personnel five iraqi set member wound action one vehicle injurexplosive device eddy transportexplosive device eddy camp cook update total five iraqi set member woundexplosive device eddy one woundexplosive device eddy friendly fire friendly force friendly force two woundexplosive device eddy vehicle woundexplosive device eddy medical evacuation explosive device eddy mexplosive device eddyical treatment one vehicle abandonexplosive device eddy destroyexplosive device eddy four enemy aif woundexplosive device eddy see loadexplosive device eddy take away white pickup truck,Private
c small arm fire attack contractor set convoy x transport personnel x aif drive red fire several shot hand gun set return fire unknown result injury report convoy continued mission,Private
personal security detail travel north along mandatory supervise release attack small arm fire approximately x aif west side mandatory supervise release kilometer south southern entrance bypass aif continued attack vehicle x civilian vehicle patrol personal security detail report x civilian injury injuryured sustain x gunshot wound hand x grazing wound individual air evacuate medical reason forward operating base,Private
small arm fire improvised explosive device contractor set convoy two vehicle vicinity plant injury damage,Private
follow incident report intelligence section today relayed tactical operation center c nov involve personal security detail coordinate tracked tactical operation center follow report report shark personal security detail team leader date time incident c nov incident location baghdad type mission personal security detail tactical convoy operation number vehicle type vehicle x armored x fully armored suburban x soft skin incident type escalation force summary travel iz prison vicinity personal security detail become temporarily halt negotiate intersection well dark green one x local national male occupant one x local national female occupant approach convoy rear vehicle observe approach convoy high rate speed well procedure employ non lethal measure attempt stop vehicle observe dark green fail stop well vehicle three x mm round strike vehicle engine compartment front grille distance vehicle convoy engage meter vehicle immediately stop injury occupant car personal security detail team member battle damage assessment one x local national vehicle damage additional comment non lethal mean use system use verbal warn arm signal convoy belong bureau international narcotic law enforcement affair contract provide int police liaison officer iraqi work closely mnf civilian police assistance training team provide security report directly briefed one vehicle sent back check vehicle escalation force observe injury occupant local national vehicle mnc local nationalo tactical operation center,Private
mnd significant action mnd event unit ia j ia confirm escalation force nov initial report ia traffic control point grid report grey grey bridge shot white kill man inside ia receive body sent hospital sent ground patrol hospital confirm local national kill action mnd chop confirms tactical operation center vicinity bridge traffic control point mnd chop confirms aegis near traffic control point mnd record friendly force force icon friendly force force vicinityinity incident time period report vehicle match description leave enter time period update tactical operation center report shark personal security detail team leader incident location baghdad type mission personal security detail tactical convoy operation number vehicle type vehicle x armored x fully armored suburban x soft skin incident type escalation force travel iz prison vicinity personal security detail become temporarily halt negotiate intelligenceersection well white one x local national male occupant approach convoy rear vehicle observe overtake vehicle stop respect convoy well procedure employ non lethal mean attempt stop vehicle observe white fail stop well vehicle three x millimeter round distance vehicle convoy engage meter vehicle imillimeterediately stop injury occupant car personal security detail team member battle damage assessment one x local national vehicle damage additional comillimeterents convoy belong bureau intelligenceernational narcotic law enforcement affair contract provide intelligence police liaison officer iraqi work closely mnf civilian police assistance training team provide security report directly briefed one vehicle sent back check vehicle escalation force observe injury occupant local national vehicle update event nov name local national kill escalation force drive nov report atmospherics hospital show sign toward coalition force sumillimeterary x escalation force x local national kill action x battle damage assessment close,Private
c mar element field artillery support personal security detail mission conjunction escalation force patrol element rear security element convoy convoy security halt due potential improvised explosive device cordoned coalition force black information approach rear high rate speed proper escalation force protective measure show sign stop x round hood enter convoye bubble stop convoy commander instruct convoy continue mission cross flow traffic beyond potential improvised explosive device cordon injury damage coalition force soldier equipment significant action,Private
group personal security detail group personal security detail escort correction personnel unknown local national vehicle one male occupant approach rear trail personal security detail vehicle personal security detail initiate escalation force employ non lethal mean signal vehicle pull slow personal security detail vehicle approach second time employ non lethal mean communicate instruction driver vehicle approach third time personal security detail fire two x mm round vehicle strike grille passenger side front windshield battle damage assessment one x local national vehicle damage additional comment non lethal mean use unknown nationality personal security detail member involve incident report iraqi national personal security detail belong bureau international narcotic law enforcement affair contract group provide int police liaison officer iraqi work closely mnf civilian police assistance training team provide security report directly detail become available military treatment facility,Private
