Text,DocType
"WHO:Combined Joint Task Force - %%% Over Drive / Overdose / Olive Drab (green) Company / Commanding Officer EOver Drive / Overdose / Olive Drab (green) Team %%%\012WHAT:%%%\012WHEN:%%%\012WHERE:%%%\012\012Team //%%% responded to %%% at GRID %%% In Support of -%%% IN. War %%% reported %%%(ea) Rocket at %%% IP Station. Team arrived on scene and Talked to %%%, War %%% Informed the team leader that the 107mm Rocket was on a rail and all set to fire in (%%%) when the IP Bomb squad found it on . %%% did not know the grid of the site. When the team arrived on scene they also found more ordnance items.\012Team identified the following items:\012\012%%%(ea) %%% Rocket, 107mm, HE, Type -(.%%% lbs NEW)\012%%%(ea) 82mm Mortar, Model unknown, country unknown (.%%% lbs NEW)\012%%%(ea) %%% Mortar, 100mm, Illumination, type (.%%% lbs NEW)\012%%%(ea) 37mm, Projectiles Model unknown, country unknown (.%%% lbs NEW)\012%%%(ea) 23mm, Projectiles Model unknown, country unknown (.%%% lbs NEW)\012%%%(ea) , %%%, Projectile, , (.%%% lbs NEW\012\012\012Team disposed of everything by controlled detonation at grid %%%. No additional hazards were found. (%%% items, .%%% lbs NEW) 271006CJAN09\012\012\\\\CLOSED//",Private
"SUMMARY: \012WHO: DIYALA %%%\012WHAT: EXPLOSIVE REMNANTS OF WAR.\012WHEN: %%%.\012WHERE:%%%, DIYALA \011\012\012%%% NATION REPORT:\012\0128X MINES REMNANTS OF IRAQI-%%% WAR DISCOVERED BY %%% IP PATROLS IN %%% AREA.THE MINES WERE DELIVERED TO THE Explosive Ordnance Disposal Headquarters,NO Battle Damage Assessment.\012\012Battle Damage Assessment:0X.",Private
"MND-%%% EVENT: %%%\012\012UNIT:/%%%\012\012WHO:--, %%%/A/-%%%\012\012WHEN: 111313MAY09\012\012WHERE: %%%\012\012EVENT: %%%\012\012ISF/ SOI Command Post / Check Point: SoI \012Command Post / Check Point NUMBER: Unknown\012GRID: \012%%% AND : %%% WEST OF SITE\012------------------------------------\012TIMELINE:\012: %%%/A/-%%% REPORTS FOUND ARTILLERY ROUNDS. INITIAL REPORT IS:\012%%% X 122Millimeter ARTILLERY ROUNDS.\012\012: -%%% Tactical Operations Center NOTIFIED %%% IA MITT In order to MOVE %%% IA Explosive Ordnance Disposal TO %%% TO CONDUCT INVESTIGATION OF THE SITE.\012\012: %%% IA MITT TEAM REPORTS THE %%% IA Explosive Ordnance Disposal IS EN ROUTE %%% CACHE SITE.\012\012:%%% IA Explosive Ordnance Disposal ARRIVES AT THE CACHE SITE.\012\012: %%% IA REPORTS THE CACHE CONSISTED OF %%% X 120Millimeter ARTILLERY ROUNDS.\012\012------------------------------------\012CACHE :\012%%% X 120Millimeter ARTILLERY ROUNDS\012\012Explosive Ordnance Disposal ASSESSMENT: %%% IA Explosive Ordnance Disposal ASSESSED %%% ARTILLERY ROUND. ALL ROUNDS WERE NON %%% POSSIBLE REMNANTS OF WAR.\012\012S2 ASSESSMENT: THE LOCATION AND CONDITION OF THE ROUNDS FOUND SUGGEST THAT THEY ARE REMNANTS OF WAR.\012\012SUMillimeterARY:\012\012%%% X CACHE FOUND\012%%% X INJURIES\012%%% X Damage\012\012//CLOSED// %%%",Private
"FINAL REPORT\012\012WHO: %%% \012(UNILATERAL)\012\012 / :%%%\012\012REPORTED BY: /%%% IN\012\012WHAT: CACHE\012(CONFIRMED)\012\012WHEN: 131206DEC2009\012\012WHERE: %%%\012\012HOW:On %%% 1206DEC2009 %%% reported finding a large CACHE from an old , %%% war era mortar position vicinity %%% Castle. %%% confirmed this to be explosive remnants of war. Explosive Ordnance Disposal has been coordinated with in order to reduce this CACHE on 17DEC09.\012\012Battle Damage Assessment: \012135X 82Millimeter MORTARS\012\012\012S2 ASSESSMENT:Nothing Significant to Report\012\012\012\012\012\012///CLOSED/// 132038DEC09",Private
"MND-%%% EVENT: (%%%)\012\012UNIT: /%%% Mountain Division (light infantry)\012\012WHO: --%%% Force Protection / Firing Point ALONG WITH //-%%% IN\012\012WHAT: %%% / Illumination Round\012\012WHEN: 311305DEC09\012\012WHERE: %%%\012\012\012------------------------------------\012CLOSEST ISF/SoI Command Post / Check Point(%%%):\012Command Post / Check Point NUMBER: %%%\012UNIT: --%%% Force Protection / Firing Point\012GRID LOCATION: %%%\012DISTANCE AND DIRECTION: %%%/North West\012------------------------------------\012\012TIMELINE:\012\012%%%: WHILE CONDUCTING COUNTER IRAM PATROL, 3D Platoon, /-%%% IN REPORTS FINDING A MORTAR ROUND WITH THE CHARGE STILL IN IT. AS THEY WERE INVESTIGATING THE SITE THEY SPOTTED %%% X MILITARY AGED MALES ACROSS THE %%%. WHEN THEY WERE SPOTTED BY USF THEY ALL GOT INTO A YELLOW CAR WITH A WHITE HOOD AND LEFT THE AREA HEADING Sensitive Site Exploitation.\012\012------------------------------------\012S2 ASensitive Site ExploitationSSMENT: UPON EXAMINATION OF THE PHOTO OF THE 120Millimeter Illumination ROUND BY TWO SENIOR %%% IN Headquarters and Headquarters Company/-%%% IT IS DETERMINED THAT THIS IS THE REMAINS OF A US Illumination MISSION AND THAT THE SITE WHERE IT WAS FOUND IS WHERE IT LANDED AFTER FIRING. WE BELIEVE THAT THIS MATERIAL WAS NOT IN THIS LOCATION AS A CACHE FOR FUTURE USE AGAINST USF.\012\012------------------------------------\012SUMillimeterARY: REMNANT OF WAR\012\012%%% X %%% OF WAR\012%%% X Injury \012%%% X Damage\012\012\012/////CLOSED///// %%%",Private
"SUMMARY: \012 WHO: BASRAH %%%\012 WHAT: %%% OF WAR.\012 WHEN: %%%.\012 WHERE: DIYALA \011\011\012\012%%% NATION REPORT:\012\0121X REMNANTS OF WAR %%% ROCKET WAS DISCOVERED BY THE %%%,AND CLEARED BY THE CIVIL DEFENCE TEAM FOUND IN %%% AREA, %%% IN SAT %%% DISTRICT.\012\012Battle Damage Assessment:0X.",Private
"The %%% Bn have just contacted us saying that a /%%% has just encountered a number of people looking for war graves from E%%% rule in the area of %%%. They claim to be from the ""War Loss Brigade"", and have Identification cards provided and authorised by the US %%% Mechanised Infantry Division. They say that the cards have been signed by Lt %%% a Col . %%% are holding them at the moment, and are requesting clarification on what to do with them.\012\012\012\012\012\012Imported MND-Southeast Report\012\012Event Identification:%%%\012\012Number of Rounds: \012\012Number of Blinds: \012\012Number inside the Wire: \012\012: \012\012: \012\012%%%: \012\012Route: \012\012: %%%/A\012\012Improvised Explosive Device %%% Type: \012\012Location: Basrah City and Province\012\012because / Blackcat District: \012\012Nationality: \012\012: \012\012: \012\012%%%: \012\012Keywords: \012\012%%%:",Private
":%%%\012\012INITIAL AND FINAL REPORT\012\012WHO: /%%% Eng\012\012WHERE: %%%\012\012WHEN: 300935AUG08\012\012WHAT: Explosive Remnants of War site.\012\012300935AUG08: While conducting clearance operations in ', /%%% found 16x 82mm mortars.\012\012300936AUG08: %%% clearance requested.\012\012300940AUG08: %%% clearance granted.\012\012300944AUG08: CON Detachment / Detainee complete.\012\012Battle Damage Assessment: \01216x 82mm mortars\012\012S2 ASSESSMENT: This Explosive Remnants of War site is the same location as the site found on ( :%%%)\012\012///CLOSED/// 301115AUG08",Private
"MND-%%% EVENT (%%%)\012\012UNIT: /%%% Compact Disc / Command / ? (%%%)\012\012EVENT TYPE: Improvised Explosive Device DISCOVERY\012\012Improvised Explosive Device TYPE: CWImprovised Explosive Device\012\012TYPE OF AIMING POINT: Unknown\012\012WHO: -%%% AND WAR HORSE\012\012WHEN:%%% NOV %%%\012\012WHERE: Route %%% (EAST BOUND)\012\012ENEMY DETAINEE:NONE\012\012Electronic Countermeasure SYSTEMS: Unknown\012\012Electronic Countermeasure STATUS: SYSTEMS Unknown\012\012%%% DOOR KIT INSTALLED: Unknown\012\012ORDER OF MOVEMENT: Unknown\012\012PATROL %%%: Unknown\012\012\012TIMELINE:\012\012%%%: WAR HORSE REPORTS WHILE TRAVELLING EAST BOUND ON Route %%%, DISCOVERING AN Improvised Explosive Device. REQUESTING Explosive Ordnance Disposal ASSISTANCE. \012\012%%%: Improvised Explosive Device %%%-LINE SENT. NOTIFImprovised Explosive Device Explosive Ordnance Disposal ESCORT.\012\012%%%: Explosive Ordnance Disposal Start Point (convoy departure location)\012\012%%%: Explosive Ordnance Disposal ON SITE\012\012%%%: Explosive Ordnance Disposal %%% Improvised Explosive Device TO %%% TO DETONATE AT A LATER TIME\012\012********Explosive Ordnance Disposal CONDUCTED Post Blast Analysis AND Improvised Explosive Device CONSISTED OF********\012\012%%% BAGS OF Homemade Explosive WITH COMMAND WIRE RUNNING TO THE SOUTH\012\012SUMMARY:\012\012%%% X Improvised Explosive Device DISCOVERY\012%%% X Wounded In Action\012%%% X Damage\012TIP: NO\012\012//CLOSED//",Private
"///LATE REPORight / Route///\012\012MND-%%% EVENT (%%%)\012\012UNIT: %%%\012\012WHO: /%%% IA\012\012WHAT: %%%\012\012WHEN:%%%\012\012WHERE: %%%\012\012CLOSEST ISF/SoI Command Post / Check Point(%%%):\012Command Post / Check Point NUMBER: 20C\012UNIT: \012\012GRID LOCATION:\012DISTANCE AND DIRECTION: %%%\012\012TIMELINE: \012%%% A/%%% AND %%% INFORMED US THAT THE IA'%%% HAD FOUND %%% Improvised Explosive Devices;IA CORDONED OFF Right / Route %%% AND ARE REQUESTING Explosive Ordnance Disposal \012\012%%% Explosive Ordnance Disposal AND Quick Reaction Force ARE Start Point (convoy departure location)UN\012\012%%% Explosive Ordnance Disposal AND Quick Reaction Force RECEIVED MISSION AND ARE PREPARING TO MOVE OUT\012\012%%% Explosive Ordnance Disposal AND Quick Reaction Force Start Point (convoy departure location) ENROUTE TO Improvised Explosive Devices\012\012%%% Explosive Ordnance Disposal IS REQUESTING A BLAST WINDOW OF \012\012%%% Explosive Ordnance Disposal CONFIRMS THAT BLAST WINDOW \012\012%%% Explosive Ordnance Disposal SENDS IN ROBOT TO CHECK OUT BLAST SITE\012\012%%% Explosive Ordnance Disposal DOING A MOUNTED Reconnaissance OF BLAST SITE TO MAKE SURE ROUNDS WERE \012\012%%% Explosive Ordnance Disposal CLEARS BLAST SITE; THEY %%% DESTROY THE ROUND. THE GAVE IT TO THE IA'%%% ON THE GROUND AND ARE ENROUTE BACK TO THE Forward Operating Base\012\012\012\012%%%-LINE Explosive Ordnance Disposal\012\012:\012: \012: / %%% Friendly Forces\012%%%: PLACED\012%%%: NONE\012%%%: NONE\012%%%: NONE\012%%%: IA CORDONED OFF AREA\012%%%:IMillimeterEDIATE\012\012S2 ASSESSMENT: IA STATED THAT THE 155Millimeter PROJECTILE HAD BEEN UNEARight / RouteHED BY A GROUP PERFORMING CONSTRUCTION ON A BRIDGE. Explosive Ordnance Disposal Team EXAMINED THE PROJECTILE AND FOUND NO INITIATION SYSTEM. THE 155Millimeter PROJECTILE IS AN EXPLOSIVE REMNANT OF WAR. THIS IS LIKELY AN ISOLATED INCIDENT NOT ASSOCIATED WITH RECENT ENEMY ACTIVITY.\012\012Explosive Ordnance Disposal ASSESSMENT:ON SCENE %%% LOCATED THE WIRE BUT WAS NEVER ABLE TO DESCRIBE AN ORDNANCE ITEM. WHEN Team ARRIVED ON SCENE IA HAD POSSESSION OF %%% X SOUTH %%% 155Millimeter PROJECTILE %%%. IA FIRST TOLD Team PROJECTILE WAS ONE OF THE Improvised Explosive Devices. Team VERIFIED THAT NO INITIATION %%% WAS CONNECTED TO PROJECTILE AND OFFERED TO DIStart Point (convoy departure location)OSE OF IT, Team WAS UNABLE TO LOCATE INITIATION SYSTEM. Major %%% ON SCENE, HE TOLD Team THAT HIS battalion COMillimeterANDER WANTED THE PROJECTILE. Team INFORMED Major %%% THE HAZARDS ASSOCIATED WITH THE PROJECTILE AND OFFERED TO DIStart Point (convoy departure location)OSE OF IT, HE DECLINED AND MAINTAINED CUSTODY OF PROJECTILE. \012\012\012SUMillimeterARY:\012\012%%% x \012%%% X Injury\012%%% X Damage\012\012////CLOSED\\\\\\\\ %%%",Private
